epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1797.35,1.1957,0.77661,0.00303,0.84681,0.70682,0.7406,0.56649,1.18447,0.73026,0.00382,0.000308412,0.000308412,0.000308412
65,1824.44,1.17776,0.77328,0.00298,0.87037,0.70367,0.74557,0.56791,1.18338,0.73768,0.00382,0.000294239,0.000294239,0.000294239
66,1851.24,1.17495,0.74974,0.00295,0.85999,0.6996,0.74457,0.56664,1.17991,0.73027,0.0038,0.000280275,0.000280275,0.000280275
67,1878.34,1.18543,0.77289,0.00296,0.87431,0.69714,0.74555,0.56734,1.19078,0.74617,0.00384,0.000266532,0.000266532,0.000266532
68,1905.27,1.18921,0.7664,0.00298,0.85659,0.69957,0.74159,0.56688,1.18731,0.74271,0.00384,0.000253024,0.000253024,0.000253024
69,1932.4,1.1864,0.75391,0.00292,0.86446,0.70197,0.74603,0.57189,1.17695,0.72163,0.00381,0.000239766,0.000239766,0.000239766
70,1959.23,1.16175,0.73781,0.00293,0.82889,0.70321,0.74471,0.56914,1.18904,0.72176,0.00383,0.000226769,0.000226769,0.000226769
71,1986.34,1.18179,0.75801,0.00293,0.86638,0.69954,0.74312,0.56962,1.1946,0.73473,0.00384,0.000214046,0.000214046,0.000214046
72,2013.34,1.16674,0.74182,0.00291,0.8552,0.70482,0.74446,0.5685,1.18051,0.73299,0.00381,0.000201611,0.000201611,0.000201611
73,2040.02,1.16572,0.72735,0.00288,0.82828,0.71506,0.74213,0.56754,1.18583,0.73558,0.00382,0.000189475,0.000189475,0.000189475
74,2067.22,1.17666,0.75439,0.00297,0.81791,0.70665,0.74304,0.56798,1.18427,0.73023,0.00381,0.000177651,0.000177651,0.000177651
